Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
1982-09-08,88.6,88.62,88.44,88.56,,88.56,639.0,2500.0
1982-09-09,88.53,88.54,88.43,88.47,,88.47,689.0,2162.0
1982-09-10,88.12,88.13,87.95,87.97,,87.97,1235.0,1520.0
1982-09-13,87.55,87.68,87.5,87.63,,87.63,449.0,1128.0
1982-09-14,86.4,86.52,86.32,86.46,,86.46,746.0,8252.0
1982-09-15,86.68,86.71,86.13,86.28,,86.28,948.0,8168.0
1982-09-16,86.28,86.48,86.23,86.42,,86.42,637.0,8149.0
1982-09-17,86.37,86.9,86.37,86.85,,86.85,962.0,8264.0
1982-09-20,86.73,87.19,86.62,87.04,,87.04,1546.0,8169.0
1982-09-21,86.9,87.46,86.85,87.41,,87.41,1285.0,8319.0
1982-09-22,87.7,87.7,87.38,87.41,,87.41,1149.0,8273.0
1982-09-23,87.35,87.66,87.31,87.53,,87.53,896.0,8242.0
1982-09-24,87.42,87.64,87.29,87.62,,87.62,990.0,8403.0
1982-09-27,87.48,87.61,87.45,87.59,,87.59,408.0,8299.0
1982-09-28,87.67,87.97,87.66,87.88,,87.88,1321.0,7903.0
1982-09-29,88.06,88.06,87.84,87.86,,87.86,1097.0,7689.0
1982-09-30,87.86,88.03,87.7,87.98,,87.98,1242.0,7590.0
1982-10-01,87.91,88.26,87.9,88.25,,88.25,863.0,7586.0
1982-10-04,87.86,87.94,87.58,87.65,,87.65,1259.0,7457.0
1982-10-05,87.65,87.84,87.65,87.76,,87.76,1419.0,7166.0
1982-10-06,87.99,88.04,87.91,87.93,,87.93,906.0,7105.0
1982-10-07,88.28,88.9,88.28,88.85,,88.85,1662.0,6847.0
1982-10-08,88.92,89.38,88.71,89.12,,89.12,2766.0,6796.0
1982-10-11,89.78,90.12,89.72,90.11,,90.11,1315.0,6579.0
1982-10-12,90.0,90.22,89.94,90.0,,90.0,2535.0,6350.0
1982-10-13,89.8,90.0,89.61,89.99,,89.99,2088.0,6239.0
1982-10-14,89.88,89.99,89.64,89.7,,89.7,1233.0,6131.0
1982-10-15,89.65,89.8,89.62,89.68,,89.68,1199.0,6167.0
1982-10-18,89.9,90.02,89.83,90.0,,90.0,955.0,6165.0
1982-10-19,90.14,90.26,89.91,89.93,,89.93,2002.0,5837.0
1982-10-20,90.0,90.01,89.82,89.97,,89.97,1415.0,6015.0
1982-10-21,89.95,90.12,89.95,90.06,,90.06,1162.0,5956.0
1982-10-22,90.13,90.13,89.8,89.85,,89.85,1268.0,6007.0
1982-10-25,89.5,89.64,89.43,89.6,,89.6,1106.0,6079.0
1982-10-26,89.56,89.77,89.51,89.66,,89.66,1308.0,6040.0
1982-10-27,89.75,89.8,89.65,89.67,,89.67,803.0,5928.0
1982-10-28,89.67,89.79,89.67,89.68,,89.68,613.0,6024.0
1982-10-29,89.8,89.8,89.68,89.74,,89.74,902.0,5952.0
1982-11-01,89.89,90.24,89.84,90.22,,90.22,1428.0,5639.0
1982-11-02,90.32,90.51,90.27,90.43,,90.43,1183.0,5597.0
1982-11-03,90.35,90.5,90.26,90.35,,90.35,1068.0,5529.0
1982-11-04,90.35,90.48,90.25,90.39,,90.39,852.0,5511.0
1982-11-05,90.42,90.45,90.1,90.3,,90.3,942.0,5510.0
1982-11-08,90.22,90.28,90.16,90.23,,90.23,608.0,5485.0
1982-11-09,90.28,90.33,90.24,90.27,,90.27,630.0,5471.0
1982-11-10,90.42,90.42,90.25,90.26,,90.26,754.0,5389.0
1982-11-11,90.15,90.16,90.05,90.07,,90.07,370.0,5364.0
1982-11-12,90.05,90.1,89.82,89.84,,89.84,1031.0,5445.0
1982-11-15,89.79,89.88,89.74,89.83,,89.83,806.0,5358.0
1982-11-16,89.6,89.76,89.49,89.64,,89.64,1514.0,5205.0
1982-11-17,89.92,89.99,89.83,89.84,,89.84,1283.0,5168.0
1982-11-18,89.84,90.08,89.77,90.07,,90.07,734.0,5074.0
1982-11-19,90.25,90.25,90.06,90.12,,90.12,998.0,5112.0
1982-11-22,90.25,90.3,90.17,90.21,,90.21,542.0,5155.0
1982-11-23,90.14,90.25,90.1,90.17,,90.17,696.0,5044.0
1982-11-24,90.28,90.36,90.24,90.3,,90.3,887.0,5058.0
1982-11-26,90.1,90.29,90.1,90.17,,90.17,977.0,4897.0
1982-11-29,90.19,90.19,89.87,89.87,,89.87,772.0,4793.0
1982-11-30,89.85,90.06,89.85,89.98,,89.98,1052.0,4560.0
1982-12-01,90.12,90.14,90.0,90.06,,90.06,758.0,4379.0
1982-12-02,90.15,90.25,90.12,90.25,,90.25,635.0,4105.0
1982-12-03,90.46,90.51,90.44,90.49,,90.49,816.0,3834.0
1982-12-06,90.42,90.54,90.42,90.45,,90.45,648.0,3605.0
1982-12-07,90.62,90.65,90.58,90.58,,90.58,616.0,3207.0
1982-12-08,90.56,90.58,90.46,90.48,,90.48,594.0,3052.0
1982-12-09,90.48,90.51,90.34,90.5,,90.5,871.0,2530.0
1982-12-10,90.37,90.37,90.18,90.21,,90.21,858.0,2038.0
1982-12-13,90.07,90.1,90.05,90.06,,90.06,288.0,1702.0
1982-12-14,90.36,90.42,90.22,90.36,,90.36,2022.0,9398.0
1982-12-15,90.23,90.36,90.2,90.36,,90.36,1240.0,9327.0
1982-12-16,90.28,90.3,90.13,90.17,,90.17,1201.0,9169.0
1982-12-17,90.12,90.2,90.06,90.13,,90.13,878.0,9172.0
1982-12-20,90.11,90.22,90.11,90.21,,90.21,494.0,9073.0
1982-12-21,90.29,90.44,90.26,90.42,,90.42,1003.0,8783.0
1982-12-22,90.5,90.58,90.41,90.43,,90.43,1028.0,8609.0
1982-12-23,90.47,90.52,90.45,90.47,,90.47,340.0,8531.0
1982-12-27,90.45,90.65,90.45,90.54,,90.54,508.0,8645.0
1982-12-28,90.51,90.53,90.44,90.49,,90.49,641.0,8717.0
1982-12-29,90.6,90.63,90.49,90.5,,90.5,894.0,8880.0
1982-12-30,90.6,90.6,90.51,90.58,,90.58,972.0,9010.0
1982-12-31,90.59,90.7,90.59,90.7,,90.7,478.0,8990.0
1983-01-03,90.74,90.8,90.7,90.77,,90.77,840.0,9173.0
1983-01-04,90.76,90.8,90.63,90.65,,90.65,1280.0,9411.0
1983-01-05,90.7,90.78,90.7,90.74,,90.74,828.0,9654.0
1983-01-06,90.77,90.86,90.76,90.77,,90.77,1367.0,9758.0
1983-01-07,90.79,90.93,90.79,90.88,,90.88,1092.0,9715.0
1983-01-10,90.95,90.96,90.89,90.94,,90.94,1049.0,9860.0
1983-01-11,90.99,91.01,90.96,90.97,,90.97,1072.0,9798.0
1983-01-12,90.94,90.94,90.87,90.9,,90.9,1273.0,9853.0
1983-01-13,90.92,91.0,90.9,90.93,,90.93,1004.0,9780.0
1983-01-14,90.93,91.05,90.92,90.98,,90.98,784.0,9596.0
1983-01-17,90.98,91.03,90.96,90.96,,90.96,692.0,9753.0
1983-01-18,90.92,91.0,90.9,90.98,,90.98,834.0,9741.0
1983-01-19,90.92,90.93,90.79,90.81,,90.81,1710.0,9518.0
1983-01-20,90.78,90.8,90.74,90.77,,90.77,900.0,9505.0
1983-01-21,90.8,90.85,90.5,90.53,,90.53,2254.0,9676.0
1983-01-24,90.32,90.38,90.21,90.25,,90.25,1925.0,9949.0
1983-01-25,90.35,90.35,90.22,90.25,,90.25,1819.0,10242.0
1983-01-26,90.4,90.42,90.24,90.31,,90.31,2905.0,10428.0
1983-01-27,90.25,90.36,90.21,90.35,,90.35,1817.0,10291.0
1983-01-28,90.33,90.36,90.27,90.28,,90.28,1352.0,10311.0
1983-01-31,90.22,90.24,90.11,90.12,,90.12,1454.0,10396.0
1983-02-01,90.04,90.13,90.04,90.06,,90.06,1429.0,10230.0
1983-02-02,90.02,90.18,89.95,90.15,,90.15,1892.0,10231.0
1983-02-03,90.27,90.3,90.17,90.17,,90.17,1514.0,10181.0
1983-02-04,90.1,90.13,90.06,90.1,,90.1,883.0,10165.0
1983-02-07,90.08,90.23,90.08,90.22,,90.22,1354.0,9959.0
1983-02-08,90.32,90.4,90.3,90.31,,90.31,1991.0,9738.0
1983-02-09,90.38,90.38,90.28,90.34,,90.34,1229.0,9706.0
1983-02-10,90.37,90.56,90.37,90.55,,90.55,1436.0,9302.0
1983-02-11,90.64,90.76,90.58,90.58,,90.58,1948.0,9012.0
1983-02-14,90.47,90.56,90.47,90.54,,90.54,792.0,8969.0
1983-02-15,90.6,90.63,90.48,90.49,,90.49,1751.0,9341.0
1983-02-16,90.46,90.78,90.41,90.63,,90.63,2378.0,9399.0
1983-02-17,90.62,90.74,90.62,90.72,,90.72,1247.0,9463.0
1983-02-18,90.78,90.86,90.77,90.78,,90.78,1443.0,9470.0
1983-02-22,90.85,90.88,90.83,90.83,,90.83,1476.0,9000.0
1983-02-23,90.86,90.89,90.77,90.79,,90.79,1174.0,8865.0
1983-02-24,90.78,90.9,90.78,90.89,,90.89,1059.0,8436.0
1983-02-25,90.91,91.07,90.91,91.04,,91.04,1674.0,7883.0
1983-02-28,91.05,91.08,91.01,91.02,,91.02,1268.0,7736.0
1983-03-01,90.98,91.04,90.97,90.99,,90.99,1368.0,7305.0
1983-03-02,91.04,91.05,91.0,91.03,,91.03,1021.0,7047.0
1983-03-03,91.07,91.12,91.07,91.11,,91.11,1267.0,6642.0
1983-03-04,91.1,91.1,91.05,91.07,,91.07,670.0,6348.0
1983-03-07,90.97,90.97,90.87,90.89,,90.89,712.0,5797.0
1983-03-08,90.85,90.85,90.66,90.66,,90.66,1402.0,5078.0
1983-03-09,90.72,90.73,90.62,90.68,,90.68,1017.0,4653.0
1983-03-10,90.74,90.78,90.67,90.72,,90.72,944.0,4195.0
1983-03-11,90.68,90.7,90.64,90.68,,90.68,1301.0,3370.0
1983-03-14,90.67,90.67,90.62,90.67,,90.67,699.0,2678.0
1983-03-15,90.4,90.42,90.34,90.38,,90.38,1364.0,9966.0
1983-03-16,90.31,90.39,90.28,90.28,,90.28,1430.0,9856.0
1983-03-17,90.23,90.27,90.16,90.16,,90.16,1897.0,10040.0
1983-03-18,90.15,90.19,90.07,90.11,,90.11,1442.0,10069.0
1983-03-21,90.01,90.12,90.01,90.07,,90.07,1705.0,10134.0
1983-03-22,90.07,90.1,89.92,90.0,,90.0,3108.0,10217.0
1983-03-23,90.05,90.17,90.04,90.16,,90.16,1595.0,10207.0
1983-03-24,90.22,90.26,90.1,90.11,,90.11,1874.0,10452.0
1983-03-25,90.12,90.15,89.89,89.9,,89.9,2501.0,10495.0
1983-03-28,89.93,89.95,89.86,89.88,,89.88,1588.0,10649.0
1983-03-29,89.89,90.02,89.88,90.02,,90.02,1680.0,10917.0
1983-03-30,90.09,90.14,90.0,90.0,,90.0,2118.0,11112.0
1983-03-31,89.96,90.05,89.92,89.93,,89.93,1101.0,11229.0
1983-04-04,89.93,90.04,89.93,90.03,,90.03,424.0,11198.0
1983-04-05,90.05,90.3,90.05,90.29,,90.29,3057.0,10352.0
1983-04-06,90.36,90.43,90.3,90.41,,90.41,2555.0,10303.0
1983-04-07,90.47,90.48,90.29,90.31,,90.31,2442.0,10518.0
1983-04-08,90.3,90.38,90.27,90.36,,90.36,1290.0,10550.0
1983-04-11,90.47,90.62,90.44,90.62,,90.62,3027.0,10812.0
1983-04-12,90.65,90.69,90.52,90.53,,90.53,2655.0,10807.0
1983-04-13,90.59,90.65,90.53,90.6,,90.6,1487.0,10787.0
1983-04-14,90.58,90.68,90.56,90.67,,90.67,1510.0,10658.0
1983-04-15,90.74,90.74,90.63,90.67,,90.67,2115.0,10907.0
1983-04-18,90.75,90.76,90.7,90.74,,90.74,1088.0,10437.0
1983-04-19,90.69,90.69,90.53,90.59,,90.59,1844.0,10512.0
1983-04-20,90.54,90.64,90.54,90.62,,90.62,1858.0,10386.0
1983-04-21,90.66,90.67,90.53,90.54,,90.54,1210.0,10362.0
1983-04-22,90.51,90.59,90.5,90.58,,90.58,1394.0,10314.0
1983-04-25,90.7,90.72,90.63,90.66,,90.66,1570.0,10104.0
1983-04-26,90.68,90.73,90.65,90.72,,90.72,1209.0,10024.0
1983-04-27,90.71,90.9,90.68,90.85,,90.85,2531.0,10060.0
1983-04-28,90.8,90.93,90.77,90.92,,90.92,1966.0,10187.0
1983-04-29,90.95,90.99,90.93,90.95,,90.95,1481.0,10116.0
1983-05-02,91.02,91.07,90.99,91.0,,91.0,976.0,10090.0
1983-05-03,91.0,91.03,90.96,91.02,,91.02,961.0,9981.0
1983-05-04,91.09,91.12,91.07,91.11,,91.11,1139.0,9987.0
1983-05-05,91.15,91.15,91.02,91.03,,91.03,1514.0,9683.0
1983-05-06,91.04,91.21,91.04,91.16,,91.16,1184.0,9451.0
1983-05-09,91.11,91.11,91.03,91.09,,91.09,1432.0,9321.0
1983-05-10,91.09,91.18,91.09,91.17,,91.17,981.0,9171.0
1983-05-11,91.27,91.27,91.17,91.17,,91.17,1391.0,9019.0
1983-05-12,91.12,91.14,91.06,91.07,,91.07,926.0,8849.0
1983-05-13,91.05,91.1,91.02,91.08,,91.08,1212.0,8776.0
1983-05-16,90.9,90.91,90.88,90.89,,90.89,1058.0,8655.0
1983-05-17,90.82,90.87,90.77,90.81,,90.81,1553.0,8406.0
1983-05-18,90.85,90.9,90.82,90.83,,90.83,1059.0,8295.0
1983-05-19,90.78,90.81,90.65,90.67,,90.67,1375.0,8040.0
1983-05-20,90.68,90.72,90.61,90.64,,90.64,1238.0,8168.0
1983-05-23,90.48,90.58,90.43,90.55,,90.55,1240.0,8157.0
1983-05-24,90.48,90.59,90.48,90.58,,90.58,1669.0,7924.0
1983-05-25,90.57,90.63,90.52,90.53,,90.53,1266.0,7713.0
1983-05-26,90.48,90.51,90.39,90.42,,90.42,1528.0,7222.0
1983-05-27,90.47,90.5,90.45,90.49,,90.49,802.0,7039.0
1983-05-31,90.34,90.38,90.3,90.3,,90.3,856.0,6624.0
1983-06-01,90.25,90.38,90.2,90.36,,90.36,1869.0,5812.0
1983-06-02,90.44,90.56,90.44,90.5,,90.5,915.0,5482.0
1983-06-03,90.48,90.52,90.42,90.43,,90.43,431.0,5355.0
1983-06-06,90.29,90.33,90.25,90.3,,90.3,982.0,4873.0
1983-06-07,90.28,90.28,90.05,90.1,,90.1,1443.0,4313.0
1983-06-08,90.06,90.12,89.98,90.04,,90.04,1103.0,3982.0
1983-06-09,90.24,90.24,90.13,90.17,,90.17,588.0,3536.0
1983-06-10,90.25,90.25,90.12,90.15,,90.15,692.0,3171.0
1983-06-13,90.4,90.44,90.4,90.44,,90.44,775.0,2749.0
1983-06-14,89.76,89.77,89.66,89.73,,89.73,2382.0,12326.0
1983-06-15,89.55,89.75,89.55,89.71,,89.71,2997.0,12339.0
1983-06-16,89.78,89.87,89.73,89.86,,89.86,2385.0,12467.0
1983-06-17,89.91,89.93,89.73,89.77,,89.77,2546.0,12549.0
1983-06-20,89.69,89.74,89.48,89.49,,89.49,2590.0,12832.0
1983-06-21,89.4,89.64,89.35,89.63,,89.63,3847.0,12860.0
1983-06-22,89.68,89.72,89.6,89.63,,89.63,2799.0,12863.0
1983-06-23,89.64,89.77,89.62,89.72,,89.72,2773.0,13048.0
